Time,data
1675190319.2249107,1018.2388916015625
1675190319.2261546,965.8406372070312
1675190319.227373,963.9912719726562
1675190319.2410362,963.74853515625
1675190319.2663279,963.6119995117188
1675190319.2940369,963.65087890625
1675190319.3199039,963.5065307617188
1675190319.3474336,963.5520629882812
1675190319.37308,963.1088256835938
1675190319.400601,963.126220703125
1675190319.4264534,962.3516235351562
1675190319.451526,962.5945434570312
1675190319.478919,962.6454467773438
1675190319.5035203,962.7960815429688
1675190319.5320544,962.7432861328125
1675190319.5564961,962.431640625
1675190319.584915,962.1888427734375
1675190319.6110973,962.2079467773438
1675190319.638581,962.9026489257812
1675190319.6635826,962.9462890625
1675190319.6896267,962.985107421875
1675190319.7158818,961.9583740234375
1675190319.7407556,962.4360961914062
1675190319.7692776,961.741455078125
1675190319.7948382,962.0397338867188
1675190319.8206775,962.393798828125
1675190319.8481703,962.4506225585938
1675190319.872333,962.2821655273438
1675190319.9014168,962.0806274414062
1675190319.9258275,962.7985229492188
1675190319.9547074,963.049560546875
1675190319.979578,962.0171508789062
1675190320.0067885,962.2216796875
1675190320.0324166,962.2673950195312
1675190320.05987,962.5035400390625
1675190320.0852733,963.1641235351562
1675190320.113207,962.1885375976562
1675190320.138079,962.504150390625
1675190320.1633456,962.151611328125
1675190320.191134,961.9342041015625
1675190320.216211,962.274658203125
1675190320.2445245,963.0912475585938
1675190320.2698631,963.0205688476562
1675190320.2976658,962.218505859375
1675190320.322736,962.6625366210938
1675190320.3470864,962.6282348632812
1675190320.3756058,961.5289916992188
1675190320.400899,961.6260375976562
1675190320.429068,962.1682739257812
1675190320.4541912,962.1307373046875
1675190320.4819438,962.0685424804688
1675190320.5075212,962.8671264648438
1675190320.5352325,962.0242309570312
1675190320.5608597,962.4779663085938
1675190320.5884082,961.7173461914062
1675190320.6131144,962.0696411132812
1675190320.6382744,962.3746948242188
1675190320.6662898,962.51611328125
1675190320.6911464,962.2156372070312
1675190320.7195072,962.513427734375
1675190320.746193,962.2189331054688
1675190320.7727444,962.672607421875
1675190320.7983594,962.0604248046875
1675190320.8231812,962.2994384765625
1675190320.8508492,961.72802734375
1675190320.876349,962.2880859375
1675190320.9040167,961.8363647460938
1675190320.928819,962.4979248046875
1675190320.957158,961.3170776367188
1675190320.9828455,962.65869140625
1675190321.0102813,962.4677734375
1675190321.0351987,961.5922241210938
1675190321.0607958,961.7415161132812
1675190321.088334,962.903076171875
1675190321.113134,961.95751953125
1675190321.1417935,961.7982177734375
1675190321.1664743,962.7477416992188
1675190321.194854,961.7694091796875
1675190321.2204704,962.2362060546875
1675190321.2478173,962.383544921875
1675190321.273546,961.8677368164062
1675190321.301129,962.3338012695312
1675190321.32634,961.7039184570312
1675190321.3545887,962.5086669921875
1675190321.3790972,962.8493041992188
1675190321.4038398,962.0789794921875
1675190321.4323015,961.00146484375
1675190321.458087,962.4447021484375
1675190321.4857023,962.2969360351562
